GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AptSpringProcessor,com.salesforce.aptspring.processor,VerifiedSpringConfiguration,0,135,0,4,0,41,0,7,0,5
AptSpringProcessor,com.salesforce.aptspring.processor,AnnotationValueExtractor.AnnotationValueExtractorVisitor,13,28,0,2,3,6,2,4,2,3
AptSpringProcessor,com.salesforce.aptspring.processor,SpringAnnotationParser,14,492,2,73,3,128,4,47,2,10
AptSpringProcessor,com.salesforce.aptspring.processor,AnnotationValueExtractor.AliasData,0,9,0,0,0,3,0,1,0,1
AptSpringProcessor,com.salesforce.aptspring.processor,AnnotationValueExtractor,40,232,17,39,8,42,14,19,1,4
