GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AptSpringProcessor,com.salesforce.aptspring.processor,VerifiedSpringConfiguration,0,138,0,4,0,41,0,7,0,5
AptSpringProcessor,com.salesforce.aptspring.processor,SpringAnnotationParser,15,694,4,85,1,162,7,66,3,24
AptSpringProcessor,com.salesforce.aptspring.processor,AnnotationValueExtractor.AnnotationValueExtractorVisitor,13,28,0,2,3,6,2,4,2,3
AptSpringProcessor,com.salesforce.aptspring.processor,AnnotationValueExtractor.AliasData,0,9,0,0,0,3,0,1,0,1
AptSpringProcessor,com.salesforce.aptspring.processor,AnnotationValueExtractor,40,232,16,40,8,42,13,20,1,4
