GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AptSpringProcessor,com.salesforce.aptspring.processor,VerifiedSpringConfiguration,3,221,0,4,0,49,1,8,1,6
AptSpringProcessor,com.salesforce.aptspring.processor,SpringAnnotationParser,15,828,9,98,1,167,12,76,3,30
AptSpringProcessor,com.salesforce.aptspring.processor,AnnotationValueExtractor.AnnotationValueExtractorVisitor,13,25,0,2,3,6,2,3,2,2
AptSpringProcessor,com.salesforce.aptspring.processor,AnnotationValueExtractor.AliasData,0,9,0,0,0,3,0,1,0,1
AptSpringProcessor,com.salesforce.aptspring.processor,AnnotationValueExtractor,36,245,13,45,8,48,11,24,1,5
