GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AptSpringProcessor,com.salesforce.aptspring.processor,VerifiedSpringConfiguration,0,138,0,4,0,41,0,7,0,5
AptSpringProcessor,com.salesforce.aptspring.processor,SpringAnnotationParser,15,818,7,90,1,183,10,73,3,30
AptSpringProcessor,com.salesforce.aptspring.processor,AnnotationValueExtractor.AnnotationValueExtractorVisitor,13,25,0,2,3,5,2,3,2,2
AptSpringProcessor,com.salesforce.aptspring.processor,AnnotationValueExtractor.AliasData,0,9,0,0,0,3,0,1,0,1
AptSpringProcessor,com.salesforce.aptspring.processor,AnnotationValueExtractor,40,232,16,40,8,42,13,20,1,4
